ax, ay, az, gx, gy, gz, temp
-0.96007, -0.85712, -9.38527, 0.00826, 0.03344, 0.01812, 26.25654
-0.89064, -0.67756, -9.45231, -0.01172, 0.03970, 0.04610, 26.20861
-0.78530, -0.67038, -9.15303, -0.00719, 0.02705, 0.03810, 26.11277
-1.07979, -0.80924, -9.45470, 0.01745, 0.10365, 0.00040, 26.20861
-0.92177, -0.66319, -9.36372, -0.01013, -0.02012, 0.03411, 26.25654
-0.97205, -0.84276, -9.46189, 0.00626, 0.02025, 0.03597, 26.30446
-0.98402, -0.71347, -9.46907, -0.01772, 0.07981, 0.01532, 26.11277
-0.91459, -0.73263, -9.25120, -0.00733, 0.03904, 0.02225, 26.30446
-0.89783, -0.67277, -9.30387, 0.00946, 0.06582, 0.02825, 26.20861
-0.90980, -0.72784, -9.40442, 0.00160, 0.01585, 0.03531, 26.20861
-0.85952, -0.72065, -9.26317, 0.00320, -0.01732, 0.03597, 26.40031
-0.92416, -0.71587, -9.56484, 0.00400, 0.09486, 0.02545, 26.40031
-0.83797, -0.68953, -9.49301, -0.01239, 0.00626, 0.02385, 26.30446
-0.80206, -0.64643, -9.45231, -0.03091, 0.06408, 0.01905, 26.25654
-0.97444, -0.56024, -9.30147, -0.00506, 0.03144, -0.00906, 26.25654
-1.00317, -0.73023, -9.44752, 0.01692, -0.05542, 0.03331, 26.20861
-0.98881, -0.80924, -9.39245, -0.01719, 0.03637, 0.00306, 26.20861
-0.84755, -0.66319, -9.23204, -0.01559, 0.03677, 0.02665, 26.25654
-0.98162, -0.72544, -9.34218, 0.01892, 0.04343, 0.02451, 25.96900
-0.91698, -0.75417, -9.50259, -0.04876, 0.10419, 0.01439, 26.30446
-0.92895, -0.53391, -9.24880, -0.00546, 0.03824, 0.07314, 26.11277
-0.74220, -0.62249, -9.17698, 0.01839, -0.02025, 0.01106, 26.11277
-1.04387, -0.84755, -9.67497, 0.01306, 0.05929, 0.02505, 26.11277
-0.81642, -0.69671, -9.39245, -0.04357, 0.04610, 0.01279, 26.11277
-0.73981, -0.56024, -9.13149, -0.00213, 0.02278, 0.02425, 26.11277
-0.82361, -0.66798, -9.44991, 0.02904, -0.05156, 0.02851, 26.25654
-1.05584, -0.75417, -9.56005, -0.01679, 0.05649, -0.00027, 26.25654
-0.95050, -0.59137, -9.36133, -0.02292, 0.02185, 0.00640, 26.11277
-0.84515, -0.68235, -9.22965, 0.00546, 0.02092, 0.03837, 26.25654
-0.92895, -0.71108, -9.50259, 0.00706, 0.03957, 0.02025, 26.20861
-0.96007, -0.77572, -9.42118, -0.01332, 0.04130, 0.02292, 26.25654
-0.98162, -0.52194, -9.42118, 0.00253, 0.06368, 0.02491, 26.11277
-1.10133, -0.85234, -9.67258, 0.00799, 0.13656, 0.01679, 26.20861
0.04549, -0.96007, -10.46266, -0.22929, -0.12257, 0.15428, 26.25654
-0.34955, -0.87149, -11.24796, -0.69640, -0.12963, 0.07434, 26.25654
-0.83558, 1.26414, -9.26796, -0.72824, -0.13843, -0.06209, 26.30446
-2.94487, 0.40701, -11.21923, -0.43034, 0.61047, -0.49495, 26.30446
-1.49398, -0.56982, -12.55280, -1.00896, 0.41168, -0.30363, 26.30446
-1.32878, 0.60813, -11.40119, -1.54562, 0.45392, -0.07061, 26.25654
