measured_roll,measured_pitch,measured_yaw,filtered_roll,filtered_pitch,filtered_yaw
0.045,-0.998,0.002,-0.217,0.001,0.011
0.036,-0.998,0.002,-0.596,0.009,0.026
0.037,-0.998,0.002,-1.049,0.023,0.038
0.043,-0.997,0.002,-1.489,0.046,0.049
0.035,-0.998,0.002,-1.871,0.065,0.046
0.044,-0.998,0.002,-2.171,0.079,0.039
0.038,-0.998,0.002,-2.405,0.089,0.032
0.039,-0.998,0.002,-2.580,0.093,0.024
0.036,-0.998,0.002,-2.711,0.096,0.018
0.039,-0.998,0.002,-2.806,0.096,0.014
0.039,-0.998,0.002,-2.875,0.095,0.010
0.037,-0.998,0.002,-2.927,0.096,0.008
0.036,-0.998,0.002,-2.965,0.094,0.006
0.034,-0.999,0.001,-2.995,0.092,0.004
0.030,-0.998,0.002,-3.018,0.096,0.003
0.039,-0.998,0.002,-3.031,0.098,0.003
0.043,-0.998,0.002,-3.037,0.100,0.002
0.036,-0.998,0.002,-3.046,0.098,0.002
0.039,-0.998,0.002,-3.051,0.100,0.001
0.040,-0.998,0.002,-3.054,0.100,0.001
0.029,-0.998,0.001,-3.062,0.100,0.002
0.034,-0.999,0.001,-3.065,0.094,0.001
0.044,-0.998,0.002,-3.062,0.098,0.001
0.037,-0.998,0.002,-3.064,0.095,0.001
0.031,-0.999,0.001,-3.068,0.092,0.001
0.035,-0.998,0.002,-3.069,0.090,0.001
0.039,-0.998,0.002,-3.067,0.096,0.001
0.031,-0.998,0.002,-3.071,0.097,0.001
0.037,-0.998,0.002,-3.070,0.096,0.001
0.037,-0.998,0.002,-3.069,0.096,0.001
0.041,-0.998,0.002,-3.066,0.098,0.001
0.028,-0.998,0.001,-3.072,0.100,0.001
0.044,-0.997,0.002,-3.067,0.104,0.001
0.046,-0.999,-0.000,-3.064,0.074,0.002
0.039,-0.999,0.001,-3.069,0.061,0.002
0.068,0.997,0.003,-2.959,0.043,-0.001
0.018,0.992,0.002,-2.837,-0.068,-0.028
0.023,-0.998,0.001,-2.914,-0.015,-0.017
0.027,0.998,0.002,-2.774,-0.080,-0.042
0.064,0.997,0.003,-2.515,-0.153,-0.103
0.073,0.997,0.001,-2.110,-0.202,-0.213
0.105,0.994,0.001,-1.525,-0.180,-0.371
0.145,0.989,0.001,-0.822,-0.043,-0.493
0.140,0.990,0.001,-0.112,0.144,-0.499
0.182,0.983,-0.005,0.546,0.262,-0.366
0.204,0.979,-0.002,1.092,0.280,-0.226
0.248,0.969,-0.005,1.491,0.234,-0.124
0.321,0.945,-0.021,1.745,0.149,-0.058
0.329,0.943,-0.016,1.924,0.085,-0.029
0.418,0.908,-0.008,2.004,0.049,-0.019
0.488,0.873,-0.010,2.021,0.020,-0.014
0.543,0.840,-0.008,2.000,0.003,-0.011
0.550,0.835,-0.014,1.984,-0.015,-0.008
0.534,0.846,0.006,1.983,-0.009,-0.006
0.562,0.827,0.014,1.964,0.004,-0.005
0.576,0.817,0.016,1.941,0.018,-0.004
0.625,0.781,-0.003,1.893,0.010,-0.004
0.684,0.729,-0.005,1.817,0.004,-0.004
0.698,0.716,-0.001,1.754,0.001,-0.003
0.717,0.697,-0.016,1.695,-0.009,-0.004
0.721,0.693,-0.011,1.653,-0.015,-0.003
0.721,0.693,-0.005,1.625,-0.013,-0.004
0.680,0.733,-0.008,1.638,-0.012,-0.005
0.668,0.744,-0.013,1.661,-0.017,-0.007
0.614,0.785,-0.051,1.719,-0.054,-0.006
0.544,0.837,-0.035,1.812,-0.070,-0.001
0.475,0.877,0.035,1.924,-0.008,-0.008
0.503,0.858,-0.051,1.991,-0.055,-0.010
0.330,0.938,-0.034,2.145,-0.090,0.004
0.358,0.934,0.005,2.243,-0.055,0.003
0.129,0.989,-0.009,2.441,-0.073,0.013
0.083,0.997,-0.000,2.609,-0.057,0.009
0.201,0.979,0.008,2.669,-0.018,0.011
0.012,0.998,-0.001,2.819,-0.049,0.023
0.112,-0.993,0.002,2.552,-0.090,0.056
0.013,-0.997,0.001,2.242,-0.199,0.153
0.070,-0.994,-0.005,1.765,-0.151,0.250
0.218,-0.976,0.005,1.076,-0.071,0.364
0.245,-0.961,0.031,0.374,0.073,0.477
0.256,-0.965,0.014,-0.277,0.235,0.421
0.323,-0.936,0.045,-0.798,0.336,0.342
0.358,-0.931,0.024,-1.210,0.341,0.219
0.405,-0.913,0.020,-1.495,0.305,0.129
0.445,-0.891,0.041,-1.673,0.283,0.085
0.463,-0.883,0.034,-1.795,0.250,0.053
0.515,-0.849,0.063,-1.851,0.250,0.039
0.586,-0.806,0.047,-1.845,0.227,0.027
0.600,-0.797,0.045,-1.832,0.207,0.018
0.635,-0.772,0.015,-1.799,0.166,0.011
0.612,-0.790,0.029,-1.793,0.150,0.008
0.618,-0.784,0.032,-1.788,0.139,0.007
0.662,-0.748,0.030,-1.758,0.126,0.006
0.683,-0.728,0.034,-1.722,0.118,0.006
0.641,-0.764,0.042,-1.730,0.120,0.006
0.629,-0.776,0.033,-1.755,0.113,0.007
0.661,-0.748,0.039,-1.760,0.105,0.010
0.724,-0.690,-0.011,-1.718,0.067,0.011
0.563,-0.827,-0.002,-1.805,0.054,0.005
0.457,-0.885,0.039,-1.936,0.088,0.013
0.481,-0.876,0.021,-2.021,0.090,0.014
0.379,-0.922,0.029,-2.144,0.109,0.008
0.367,-0.930,-0.011,-2.241,0.063,-0.001
0.311,-0.949,0.017,-2.341,0.078,0.000
0.164,-0.985,0.008,-2.495,0.083,-0.005
0.071,-0.997,0.003,-2.656,0.084,-0.006
0.051,-0.988,0.007,-2.782,0.143,-0.000
0.034,0.998,0.001,-2.583,0.182,0.010
0.048,0.996,0.004,-2.267,0.207,0.028
0.106,0.992,0.007,-1.759,0.231,0.075
0.171,0.984,0.008,-1.075,0.223,0.160
0.305,0.952,-0.000,-0.346,0.146,0.240
0.316,0.949,0.002,0.295,0.047,0.243
0.383,0.921,-0.025,0.786,-0.053,0.227
0.393,0.913,-0.045,1.161,-0.134,0.198
0.452,0.884,-0.053,1.416,-0.183,0.158
0.434,0.896,-0.042,1.622,-0.200,0.119
0.491,0.865,-0.051,1.739,-0.210,0.089
0.511,0.857,-0.037,1.816,-0.197,0.066
0.486,0.873,-0.020,1.890,-0.172,0.047
0.556,0.831,-0.016,1.899,-0.144,0.036
0.581,0.813,-0.013,1.890,-0.120,0.027
0.635,0.772,-0.003,1.850,-0.092,0.024
0.628,0.778,-0.009,1.827,-0.075,0.018
0.637,0.770,-0.009,1.805,-0.060,0.015
0.640,0.768,0.005,1.789,-0.040,0.013
0.635,0.772,-0.003,1.783,-0.031,0.009
0.615,0.787,-0.032,1.796,-0.049,0.006
0.671,0.735,-0.063,1.769,-0.082,0.001
0.655,0.749,-0.065,1.768,-0.111,0.001
0.569,0.821,-0.023,1.831,-0.099,0.005
0.502,0.864,0.015,1.923,-0.053,0.002
0.469,0.883,-0.009,2.011,-0.050,-0.001
0.409,0.912,-0.009,2.114,-0.048,0.004
0.366,0.924,0.040,2.213,0.022,0.001
0.308,0.951,0.002,2.322,0.022,0.001
0.175,0.985,0.000,2.476,0.013,0.008
0.136,0.988,0.009,2.609,0.040,0.008
0.047,0.991,0.006,2.753,0.099,-0.005
0.030,0.998,-0.002,2.865,0.041,0.002
0.030,-0.987,0.005,2.717,-0.122,0.042
0.034,-0.990,0.005,2.460,-0.316,0.154
0.146,-0.989,-0.002,1.964,-0.368,0.333
0.180,-0.979,0.016,1.265,-0.332,0.652
0.194,-0.978,0.015,0.563,-0.078,0.857
0.290,-0.953,0.024,-0.049,0.224,0.836
0.228,-0.971,0.015,-0.646,0.423,0.663
0.333,-0.942,0.008,-1.131,0.454,0.430
0.347,-0.933,0.033,-1.475,0.443,0.276
0.366,-0.927,0.031,-1.718,0.393,0.172
0.442,-0.895,0.027,-1.846,0.329,0.105
0.473,-0.879,0.029,-1.917,0.277,0.066
0.463,-0.884,0.028,-1.973,0.238,0.043
0.530,-0.841,0.057,-1.970,0.234,0.030
0.554,-0.825,0.060,-1.950,0.232,0.019
0.583,-0.806,0.058,-1.921,0.224,0.011
0.632,-0.768,0.068,-1.864,0.224,0.007
0.615,-0.785,0.049,-1.836,0.208,0.002
0.665,-0.747,0.011,-1.784,0.163,0.003
0.692,-0.721,0.007,-1.728,0.127,0.006
0.665,-0.741,0.061,-1.705,0.146,0.006
0.702,-0.711,0.036,-1.666,0.137,0.005
0.702,-0.711,0.033,-1.641,0.127,0.005
0.683,-0.725,0.064,-1.642,0.143,0.004
0.675,-0.732,0.061,-1.657,0.149,0.003
0.637,-0.762,0.073,-1.701,0.164,0.004
0.685,-0.726,0.041,-1.708,0.140,0.004
0.594,-0.805,0.009,-1.776,0.106,0.007
0.594,-0.804,0.006,-1.825,0.080,0.011
0.474,-0.878,0.031,-1.936,0.099,0.013
0.414,-0.908,0.026,-2.054,0.107,0.013
0.395,-0.919,0.003,-2.152,0.085,0.005
0.351,-0.932,0.030,-2.250,0.114,0.004
0.253,-0.967,0.011,-2.379,0.107,0.001
0.210,-0.976,0.012,-2.496,0.112,-0.000
0.194,-0.977,0.017,-2.590,0.128,-0.003
0.050,-0.999,0.000,-2.735,0.097,-0.006
0.030,0.994,0.003,-2.520,0.052,-0.033
0.024,0.998,0.001,-2.195,0.034,-0.061
0.050,0.993,0.005,-1.711,-0.005,-0.138
0.182,0.982,0.009,-1.028,0.041,-0.191
0.151,0.987,0.009,-0.306,0.113,-0.216
0.199,0.976,0.017,0.355,0.179,-0.207
0.308,0.950,-0.017,0.880,0.158,-0.103
0.393,0.914,-0.040,1.240,0.079,-0.030
0.420,0.904,-0.032,1.496,0.014,-0.002
0.422,0.901,-0.042,1.685,-0.051,0.009
0.451,0.881,-0.064,1.805,-0.121,0.013
0.484,0.862,-0.075,1.874,-0.179,0.012
0.594,0.795,-0.073,1.858,-0.203,0.009
0.582,0.802,-0.077,1.856,-0.223,0.008
0.600,0.787,-0.087,1.842,-0.241,0.010
