measured_roll,measured_pitch,measured_yaw,filtered_roll,filtered_pitch,filtered_yaw
-3.063,-0.030,0.000,-3.140,0.001,-3.141
-3.089,-0.051,0.000,-3.140,0.001,-3.141
-3.114,-0.071,0.000,-3.140,0.001,-3.140
-3.138,-0.090,0.000,3.141,0.001,-3.139
3.126,-0.106,0.000,3.139,0.001,-3.137
3.109,-0.120,0.000,3.136,0.001,-3.136
3.097,-0.129,0.000,3.133,0.001,-3.134
3.090,-0.134,0.000,3.130,0.002,-3.133
3.087,-0.136,0.000,3.128,0.002,-3.132
3.087,-0.133,-0.000,3.125,0.003,-3.130
3.091,-0.127,0.000,3.123,0.005,-3.129
3.097,-0.117,0.000,3.122,0.007,-3.129
3.104,-0.105,0.000,3.121,0.009,-3.128
3.111,-0.090,0.000,3.121,0.012,-3.128
3.117,-0.074,0.000,3.120,0.015,-3.128
3.122,-0.056,-0.000,3.121,0.018,-3.128
3.126,-0.038,0.000,3.121,0.021,-3.129
3.128,-0.020,0.000,3.121,0.023,-3.130
3.128,-0.003,0.000,3.121,0.023,-3.131
3.126,0.010,0.000,3.121,0.022,-3.132
3.124,0.020,0.000,3.121,0.018,-3.133
3.121,0.026,0.000,3.120,0.011,-3.134
3.118,0.025,0.000,3.119,0.001,-3.136
3.116,0.019,0.000,3.118,-0.014,-3.138
3.114,0.005,0.000,3.116,-0.032,-3.140
3.113,-0.016,0.000,3.114,-0.054,3.141
3.114,-0.045,0.000,3.112,-0.081,3.139
3.115,-0.082,0.000,3.110,-0.111,3.137
3.117,-0.128,0.000,3.108,-0.145,3.134
3.119,-0.183,-0.000,3.105,-0.182,3.132
3.122,-0.250,0.000,3.103,-0.222,3.130
3.124,-0.332,-0.000,3.100,-0.264,3.129
3.125,-0.432,0.000,3.098,-0.308,3.128
3.125,-0.556,0.000,3.095,-0.352,3.127
3.121,-0.710,0.000,3.092,-0.397,3.127
3.111,-0.897,0.000,3.089,-0.442,3.128
3.085,-1.117,0.000,3.085,-0.486,3.129
2.989,-1.354,0.000,3.081,-0.531,3.131
1.085,-1.525,-0.000,3.077,-0.575,3.134
0.204,-1.331,-0.000,3.072,-0.618,3.138
0.133,-1.150,0.000,3.067,-0.662,-3.140
0.110,-0.999,-0.000,3.061,-0.705,-3.134
0.098,-0.874,0.000,3.054,-0.749,-3.128
0.092,-0.768,0.000,3.047,-0.792,-3.120
0.087,-0.675,-0.000,3.039,-0.836,-3.110
0.084,-0.592,-0.000,3.029,-0.881,-3.100
0.080,-0.516,0.000,3.017,-0.926,-3.087
0.077,-0.445,0.000,3.004,-0.971,-3.073
0.073,-0.377,0.000,2.989,-1.016,-3.056
0.068,-0.311,-0.000,2.970,-1.060,-3.037
0.063,-0.247,0.000,2.949,-1.103,-3.015
0.056,-0.187,-0.000,2.924,-1.144,-2.990
0.049,-0.131,0.000,2.896,-1.182,-2.962
0.041,-0.080,-0.000,2.864,-1.216,-2.932
0.032,-0.036,0.000,2.832,-1.246,-2.901
0.023,-0.002,0.000,2.799,-1.270,-2.870
0.013,0.022,0.000,2.771,-1.289,-2.844
0.003,0.035,0.000,2.749,-1.301,-2.825
-0.006,0.036,-0.000,2.739,-1.307,-2.818
-0.014,0.025,-0.000,2.741,-1.307,-2.824
-0.022,0.003,0.000,2.756,-1.299,-2.843
-0.028,-0.028,0.000,2.781,-1.286,-2.872
-0.033,-0.068,-0.000,2.812,-1.265,-2.907
-0.036,-0.114,0.000,2.846,-1.239,-2.945
-0.039,-0.165,-0.000,2.879,-1.207,-2.982
-0.040,-0.220,0.000,2.909,-1.170,-3.016
-0.040,-0.278,0.000,2.936,-1.130,-3.047
-0.040,-0.337,-0.000,2.958,-1.086,-3.073
-0.039,-0.400,-0.000,2.976,-1.041,-3.095
-0.038,-0.465,0.000,2.991,-0.994,-3.113
-0.036,-0.535,0.000,3.002,-0.947,-3.127
-0.034,-0.611,0.000,3.010,-0.900,-3.138
-0.031,-0.696,0.000,3.016,-0.853,3.137
-0.027,-0.793,-0.000,3.019,-0.807,3.132
-0.021,-0.905,0.000,3.021,-0.762,3.129
-0.010,-1.036,0.000,3.021,-0.718,3.128
0.012,-1.185,0.000,3.019,-0.674,3.129
0.074,-1.351,0.000,3.016,-0.632,3.131
0.621,-1.520,0.000,3.013,-0.589,3.134
2.836,-1.426,-0.000,3.008,-0.546,3.138
2.956,-1.258,0.000,3.003,-0.504,-3.141
2.986,-1.103,0.000,2.997,-0.460,-3.136
2.997,-0.965,0.000,2.992,-0.416,-3.131
3.000,-0.841,-0.000,2.986,-0.371,-3.127
2.999,-0.728,0.000,2.980,-0.325,-3.122
2.996,-0.621,0.000,2.974,-0.278,-3.118
2.991,-0.515,0.000,2.969,-0.230,-3.115
2.984,-0.406,0.000,2.964,-0.181,-3.112
2.976,-0.291,0.000,2.960,-0.132,-3.109
2.966,-0.169,0.000,2.956,-0.083,-3.107
2.957,-0.042,0.000,2.952,-0.034,-3.105
2.947,0.085,0.000,2.949,0.012,-3.103
2.938,0.207,0.000,2.947,0.056,-3.102
2.930,0.316,0.000,2.946,0.097,-3.100
2.925,0.408,0.000,2.946,0.133,-3.099
2.922,0.481,0.000,2.947,0.164,-3.097
2.922,0.533,-0.000,2.949,0.188,-3.095
2.926,0.567,0.000,2.951,0.206,-3.093
2.933,0.583,-0.000,2.955,0.216,-3.091
2.942,0.582,0.000,2.959,0.219,-3.089
2.953,0.568,0.000,2.963,0.214,-3.086
2.966,0.539,0.000,2.968,0.201,-3.084
2.979,0.499,0.000,2.973,0.181,-3.082
2.993,0.447,0.000,2.978,0.155,-3.080
3.005,0.385,-0.000,2.982,0.123,-3.078
3.017,0.315,0.000,2.987,0.087,-3.076
3.027,0.237,0.000,2.990,0.047,-3.075
3.035,0.153,0.000,2.993,0.004,-3.074
3.041,0.065,0.000,2.995,-0.041,-3.073
3.046,-0.028,-0.000,2.997,-0.088,-3.073
3.049,-0.125,-0.000,2.997,-0.135,-3.073
3.050,-0.227,0.000,2.998,-0.182,-3.073
3.049,-0.334,-0.000,2.997,-0.229,-3.073
3.046,-0.447,0.000,2.997,-0.275,-3.073
3.041,-0.569,0.000,2.995,-0.321,-3.073
3.032,-0.701,0.000,2.994,-0.365,-3.073
3.017,-0.846,0.000,2.992,-0.409,-3.073
2.989,-1.005,0.000,2.991,-0.452,-3.072
2.929,-1.178,0.000,2.989,-0.495,-3.070
2.751,-1.360,0.000,2.986,-0.537,-3.067
1.529,-1.493,-0.000,2.983,-0.578,-3.062
0.358,-1.354,0.000,2.980,-0.620,-3.057
0.185,-1.167,0.000,2.975,-0.661,-3.049
0.125,-0.987,0.000,2.969,-0.703,-3.040
0.095,-0.823,0.000,2.962,-0.745,-3.029
0.077,-0.674,-0.000,2.952,-0.787,-3.016
0.065,-0.541,0.000,2.940,-0.830,-3.000
0.055,-0.422,0.000,2.924,-0.873,-2.981
0.047,-0.315,0.000,2.906,-0.916,-2.959
0.040,-0.218,0.000,2.883,-0.960,-2.933
0.034,-0.130,0.000,2.855,-1.003,-2.904
0.028,-0.049,0.000,2.822,-1.045,-2.870
0.021,0.024,0.000,2.783,-1.086,-2.831
0.015,0.091,0.000,2.738,-1.125,-2.787
0.009,0.151,0.000,2.687,-1.161,-2.738
0.003,0.204,0.000,2.630,-1.194,-2.683
-0.002,0.251,-0.000,2.569,-1.223,-2.624
-0.007,0.291,0.000,2.506,-1.248,-2.563
-0.012,0.324,0.000,2.445,-1.268,-2.505
-0.015,0.350,0.000,2.390,-1.283,-2.453
-0.018,0.368,-0.000,2.348,-1.293,-2.413
-0.021,0.378,0.000,2.322,-1.299,-2.389
-0.023,0.380,0.000,2.316,-1.301,-2.384
-0.024,0.373,0.000,2.329,-1.298,-2.399
-0.025,0.356,0.000,2.361,-1.290,-2.433
-0.026,0.331,0.000,2.408,-1.278,-2.481
-0.027,0.295,0.000,2.464,-1.260,-2.538
-0.028,0.250,0.000,2.524,-1.238,-2.599
-0.028,0.196,0.000,2.583,-1.210,-2.661
-0.029,0.135,0.000,2.638,-1.178,-2.719
-0.030,0.067,0.000,2.687,-1.142,-2.771
-0.031,-0.006,0.000,2.730,-1.102,-2.818
-0.032,-0.081,0.000,2.765,-1.061,-2.860
-0.034,-0.157,-0.000,2.794,-1.018,-2.896
-0.036,-0.232,0.000,2.817,-0.974,-2.927
-0.039,-0.307,0.000,2.836,-0.929,-2.954
-0.042,-0.381,-0.000,2.849,-0.885,-2.978
-0.047,-0.455,0.000,2.860,-0.841,-2.998
-0.053,-0.532,0.000,2.867,-0.797,-3.015
-0.061,-0.613,0.000,2.871,-0.754,-3.030
