measured_roll,measured_pitch,measured_yaw,filtered_roll,filtered_pitch,filtered_yaw
-3.068,-0.047,0.000,-3.140,0.001,3.141
-3.038,-0.064,-0.000,-3.140,-0.002,-3.140
-3.053,-0.160,-0.000,3.135,-0.002,-3.137
-3.132,-0.166,-0.000,3.129,0.002,-3.135
3.058,0.014,0.000,3.118,-0.002,-3.132
3.001,-0.078,0.000,3.109,-0.007,-3.131
2.832,-0.568,0.000,3.109,-0.002,-3.132
-3.080,-0.160,0.000,3.108,0.002,-3.131
3.049,-0.090,-0.000,3.108,0.004,-3.129
3.121,-0.045,0.000,3.108,0.003,-3.127
3.103,-0.072,0.000,3.107,0.003,-3.126
3.107,-0.040,0.000,3.107,0.002,-3.127
3.134,-0.016,0.000,3.107,0.001,-3.128
3.105,-0.148,0.000,3.109,0.002,-3.129
-3.100,-0.083,-0.000,3.109,0.004,-3.131
3.110,-0.053,0.000,3.109,0.005,-3.132
3.099,-0.078,0.000,3.110,0.006,-3.133
3.140,-0.070,0.000,3.109,0.006,-3.134
3.105,-0.062,0.000,3.109,0.006,-3.136
3.090,-0.073,0.000,3.109,0.006,-3.138
3.124,-0.087,0.000,3.109,0.005,-3.139
3.141,-0.058,0.000,3.109,0.003,-3.141
3.121,-0.026,0.000,3.108,-0.001,-3.141
3.117,0.023,0.000,3.105,-0.008,-3.141
3.109,0.069,0.000,3.102,-0.021,3.141
3.101,0.184,-0.000,3.097,-0.043,3.141
3.049,0.156,0.000,3.093,-0.075,3.141
3.035,-0.011,0.000,3.090,-0.115,3.138
3.008,-0.234,0.000,3.090,-0.157,3.133
3.051,-0.361,0.000,3.092,-0.197,3.126
-3.050,-0.375,0.000,3.093,-0.240,3.121
-3.064,-0.449,0.000,3.090,-0.284,3.119
3.138,-0.407,0.000,3.087,-0.328,3.120
3.140,-0.371,-0.000,3.084,-0.371,3.122
3.102,-0.527,-0.000,3.080,-0.415,3.126
3.094,-0.744,0.000,3.076,-0.459,3.127
3.001,-1.038,-0.000,3.072,-0.502,3.127
