measured_roll,measured_pitch,measured_yaw,filtered_roll,filtered_pitch,filtered_yaw
0.036,0.999,-0.001,2.990,-0.042,0.002
0.040,0.999,-0.001,3.059,-0.050,0.000
0.032,0.999,-0.001,3.077,-0.045,-0.000
0.040,0.999,-0.000,3.063,-0.024,0.000
0.034,0.999,-0.001,3.073,-0.030,0.000
0.043,0.999,-0.001,3.055,-0.040,0.000
0.038,0.999,-0.001,3.065,-0.043,0.000
0.041,0.999,-0.001,3.059,-0.036,0.000
0.034,0.999,-0.001,3.074,-0.039,0.000
0.037,0.999,-0.001,3.069,-0.044,0.000
0.040,0.999,-0.001,3.063,-0.037,0.000
0.036,0.999,-0.001,3.069,-0.056,0.000
0.036,0.999,-0.000,3.070,-0.023,0.000
0.038,0.999,-0.001,3.066,-0.033,0.000
0.035,0.999,-0.001,3.072,-0.034,0.000
0.037,0.999,-0.001,3.068,-0.034,0.000
0.038,0.999,-0.001,3.067,-0.045,0.000
0.031,0.999,-0.001,3.079,-0.045,0.000
0.038,0.999,-0.001,3.066,-0.042,0.000
0.041,0.999,-0.001,3.060,-0.040,0.000
0.036,0.999,-0.001,3.068,-0.036,0.000
0.039,0.999,-0.001,3.063,-0.052,0.000
0.032,0.999,-0.001,3.078,-0.048,0.000
0.045,0.999,-0.001,3.052,-0.026,0.000
0.031,0.999,-0.001,3.079,-0.038,0.000
0.041,0.999,-0.001,3.061,-0.037,0.000
0.033,0.999,-0.001,3.076,-0.040,0.000
0.049,0.999,-0.001,3.044,-0.039,0.000
0.033,0.999,-0.001,3.073,-0.058,0.000
0.036,0.999,-0.001,3.070,-0.038,0.000
0.031,0.999,-0.001,3.079,-0.047,0.000
0.044,0.999,0.000,3.055,0.010,0.000
0.077,0.996,0.003,2.991,0.069,0.000
0.020,0.994,0.002,3.098,0.216,-0.000
0.050,0.988,0.008,3.042,0.293,0.000
0.065,0.987,0.010,3.011,0.294,0.000
0.043,0.971,0.011,3.051,0.470,0.000
0.030,0.958,0.009,3.079,0.576,0.000
0.044,0.952,0.014,3.050,0.613,0.000
0.011,0.936,0.004,3.116,0.714,-0.000
0.047,0.908,0.022,3.041,0.853,0.000
0.000,-0.884,0.000,-3.136,0.981,0.001
0.017,0.891,0.009,3.102,0.940,0.000
0.062,0.864,0.036,3.003,1.042,0.001
0.072,0.845,0.045,2.974,1.114,0.001
0.048,0.821,0.033,3.025,1.205,0.001
0.083,-0.784,0.065,-2.912,1.330,0.007
0.208,0.729,0.179,2.525,1.425,-0.036
0.085,-0.727,0.079,-2.823,1.503,0.057
0.088,-0.724,0.082,-2.924,1.506,-0.026
0.742,0.086,0.660,0.176,1.453,0.021
0.725,0.108,0.673,0.290,1.494,0.000
0.743,0.038,0.667,0.111,1.463,0.001
0.715,0.169,0.660,0.482,1.488,0.028
0.685,0.236,0.651,0.775,1.515,0.112
0.056,-0.713,0.054,-2.946,1.541,-0.037
0.073,0.753,0.064,2.943,1.420,0.014
0.033,0.785,0.026,3.053,1.339,0.001
0.027,0.828,0.019,3.075,1.196,0.000
0.070,0.844,0.044,2.979,1.124,-0.001
0.033,0.879,0.018,3.064,0.997,-0.000
0.038,0.891,0.019,3.057,0.942,-0.000
0.051,0.901,0.024,3.030,0.895,-0.000
0.015,0.931,0.006,3.107,0.751,0.000
0.056,0.951,0.018,3.027,0.625,-0.000
0.078,0.957,0.023,2.980,0.569,-0.001
0.027,0.983,0.005,3.083,0.378,0.000
0.063,0.995,0.005,3.018,0.159,-0.001
0.002,-0.997,0.000,-3.133,0.150,0.000
0.015,-0.998,0.001,-3.113,0.129,0.000
0.048,0.999,-0.000,3.041,-0.012,0.001
