ax, ay, az, gx, gy, gz, temp
0.40701, 0.68714, -9.51695, -0.00466, 0.01026, 0.01519, 25.92108
0.47645, 0.75896, -9.45470, 0.01159, 0.00053, 0.02585, 25.87315
0.41659, 0.59376, -9.32781, 0.00839, 0.05582, -0.01252, 25.87315
0.21548, 0.75178, -9.41879, 0.00453, 0.00440, 0.03424, 25.72939
0.28730, 0.64643, -9.47864, 0.00706, 0.06635, 0.02065, 25.87315
0.37828, 0.81642, -9.35893, -0.01026, -0.00253, 0.01799, 25.77731
0.41180, 0.71587, -9.40682, 0.01559, 0.11058, 0.01958, 25.77731
0.34237, 0.78290, -9.48822, 0.01159, 0.02185, 0.03744, 25.77731
0.36871, 0.63207, -9.40442, 0.01825, 0.05143, 0.01279, 25.72939
0.42138, 0.68953, -9.40921, 0.00200, -0.00493, 0.03118, 25.87315
0.35195, 0.74699, -9.43076, 0.02185, 0.08926, 0.01905, 25.58562
0.53391, 0.68474, -9.39006, 0.01053, 0.00360, 0.04397, 25.77731
0.20111, 0.67516, -9.44034, -0.01172, 0.03624, 0.02505, 25.58562
0.31364, 0.71587, -9.38048, -0.00453, 0.03131, 0.03597, 25.92108
0.33040, 0.66080, -9.53850, 0.00946, -0.01652, 0.02158, 25.87315
0.32082, 0.70629, -9.52892, -0.00480, 0.11604, 0.01599, 25.77731
0.43096, 0.70629, -9.39006, -0.01092, -0.01319, 0.02558, 25.72939
0.43574, 0.59616, -9.56723, -0.00853, 0.09593, 0.02838, 25.53770
0.39744, 0.71108, -9.37809, -0.01146, 0.00226, 0.01079, 25.77731
0.37828, 0.77093, -9.41161, -0.01852, -0.00640, 0.03997, 25.87315
0.33758, 0.68953, -9.45710, 0.00240, 0.05676, 0.01919, 25.77731
0.50039, 0.74460, -9.41640, -0.00266, -0.01106, 0.03051, 25.77731
0.45490, 0.59616, -9.41400, -0.01239, -0.02478, 0.02758, 25.87315
0.23463, 0.84755, -9.33020, -0.00173, -0.01519, 0.05036, 25.44185
0.36392, 0.58419, -9.47386, 0.00253, 0.04024, 0.01053, 25.72939
0.35195, 0.77093, -9.46189, 0.00733, -0.02292, 0.03757, 25.77731
0.37828, 0.61531, -9.43076, -0.02531, 0.09766, 0.03424, 25.58562
0.36871, 0.93134, -9.39485, 0.00040, 0.03730, 0.03797, 25.77731
0.53870, 0.61770, -9.20092, -0.00493, -0.18333, 0.03491, 25.92108
0.34237, 0.66319, -9.22725, -0.04570, -0.41675, 0.06009, 25.77731
0.41899, 0.55545, -8.85615, -0.08953, -0.73903, 0.02611, 25.77731
-0.11492, 0.78051, -8.93995, -0.06249, -1.57253, -0.02611, 25.87315
-0.65362, 1.37906, -8.91840, -0.12004, -1.81288, 0.01306, 25.68146
-2.17872, 0.38307, -9.62230, -0.00053, -1.83992, -0.08833, 25.58562
-2.77488, 0.92416, -9.04051, 0.03797, -1.77584, -0.17893, 25.72939
-2.43490, 1.05584, -7.94157, 0.11778, -2.54552, 0.19358, 25.87315
-4.15633, 0.71587, -7.99424, 0.12670, -2.70926, -0.09260, 25.68146
-4.97036, 0.46687, -7.54652, 0.17027, -2.62599, -0.08500, 25.96900
-4.86981, 0.64165, -6.86178, -0.00333, -3.11068, 0.08807, 25.87315
-7.13712, 0.18435, -8.15465, 0.07354, -3.04780, 0.00653, 25.68146
-7.05811, 0.62968, -6.05733, -0.02411, -2.33434, -0.11738, 25.72939
-7.78834, -0.00479, -5.28161, 0.05942, -2.40869, -0.21144, 25.77731
-8.50660, 0.23463, -6.20338, 0.03770, -1.89828, -0.17547, 25.92108
-7.88650, 0.65122, -4.51068, 0.08234, -1.57959, -0.16907, 25.77731
