m_roll,m_pitch,m_yaw,f_roll,f_pitch,f_yaw
5.650,6.194,1.571,5.652,6.195,1.571
5.746,6.212,1.571,5.699,6.204,1.572
5.856,6.230,1.571,5.752,6.213,1.572
5.973,6.247,1.571,5.809,6.223,1.573
6.088,6.264,1.571,5.866,6.232,1.574
6.194,6.279,1.571,5.922,6.241,1.574
0.001,0.009,1.571,5.977,6.250,1.575
0.075,0.020,1.571,6.027,6.257,1.575
0.134,0.029,1.571,6.074,6.264,1.575
0.179,0.035,1.571,6.116,6.270,1.575
0.210,0.039,1.571,6.155,6.276,1.575
0.227,0.040,1.571,6.189,6.280,1.575
0.230,0.038,1.571,6.218,0.000,1.574
0.220,0.033,1.571,6.242,0.003,1.574
0.199,0.029,1.571,6.262,0.005,1.573
0.171,0.024,1.571,6.277,0.006,1.572
0.140,0.019,1.571,0.005,0.007,1.572
0.110,0.015,1.571,0.013,0.008,1.572
0.083,0.012,1.571,0.018,0.008,1.571
0.059,0.009,1.571,0.021,0.008,1.571
0.040,0.007,1.571,0.022,0.008,1.571
0.026,0.005,1.571,0.022,0.008,1.571
0.015,0.004,1.571,0.022,0.007,1.571
0.008,0.003,1.571,0.021,0.007,1.571
0.003,0.003,1.571,0.020,0.007,1.571
0.001,0.002,1.571,0.019,0.006,1.571
6.283,0.002,1.571,0.017,0.006,1.572
0.000,0.003,1.571,0.016,0.006,1.572
0.001,0.003,1.571,0.015,0.006,1.572
0.002,0.003,1.571,0.014,0.006,1.572
0.003,0.003,1.571,0.014,0.005,1.572
0.004,0.004,1.571,0.013,0.005,1.572
0.004,0.004,1.571,0.012,0.005,1.572
0.005,0.004,1.571,0.012,0.005,1.572
0.005,0.004,1.571,0.011,0.005,1.572
0.006,0.004,1.571,0.011,0.005,1.572
0.005,0.004,1.571,0.010,0.005,1.572
0.005,0.004,1.571,0.010,0.005,1.572
0.005,0.004,1.571,0.010,0.005,1.572
0.004,0.003,1.571,0.009,0.005,1.572
0.004,0.003,1.571,0.009,0.005,1.572
0.004,0.002,1.571,0.008,0.004,1.572
0.003,0.002,1.571,0.008,0.004,1.573
0.003,0.001,1.571,0.008,0.004,1.573
0.004,0.001,1.571,0.008,0.004,1.573
0.004,0.001,1.571,0.007,0.004,1.573
0.006,0.001,1.571,0.007,0.003,1.573
0.007,0.001,1.571,0.007,0.003,1.573
0.009,0.001,1.571,0.007,0.003,1.573
0.012,0.002,1.571,0.008,0.003,1.573
0.015,0.003,1.571,0.008,0.003,1.573
0.018,0.004,1.571,0.009,0.003,1.573
0.021,0.006,1.571,0.009,0.003,1.573
0.024,0.008,1.571,0.010,0.003,1.573
0.026,0.010,1.571,0.011,0.003,1.573
0.027,0.012,1.571,0.012,0.004,1.573
0.027,0.013,1.571,0.013,0.004,1.573
0.025,0.013,1.571,0.014,0.005,1.573
0.022,0.013,1.571,0.014,0.005,1.573
0.018,0.012,1.571,0.014,0.005,1.573
0.015,0.010,1.571,0.014,0.006,1.573
0.012,0.009,1.571,0.014,0.006,1.573
0.009,0.008,1.571,0.014,0.006,1.573
0.007,0.007,1.571,0.014,0.006,1.573
0.006,0.006,1.571,0.013,0.006,1.573
0.004,0.005,1.571,0.013,0.006,1.573
0.004,0.004,1.571,0.012,0.006,1.573
0.003,0.003,1.571,0.012,0.006,1.573
0.003,0.003,1.571,0.011,0.005,1.573
0.003,0.003,1.571,0.011,0.005,1.573
0.003,0.002,1.571,0.011,0.005,1.573
0.003,0.002,1.571,0.010,0.005,1.573
0.003,0.002,1.571,0.010,0.005,1.573
0.004,0.002,1.571,0.010,0.005,1.573
0.004,0.002,1.571,0.009,0.004,1.573
0.004,0.003,1.571,0.009,0.004,1.573
0.004,0.003,1.571,0.009,0.004,1.573
0.004,0.003,1.571,0.009,0.004,1.573
0.004,0.003,1.571,0.009,0.004,1.573
0.004,0.003,1.571,0.008,0.004,1.573
0.004,0.003,1.571,0.008,0.004,1.573
0.004,0.003,1.571,0.008,0.004,1.573
0.004,0.003,1.571,0.008,0.004,1.573
0.004,0.003,1.571,0.008,0.004,1.573
0.004,0.003,1.571,0.008,0.004,1.573
0.004,0.003,1.571,0.007,0.004,1.573
0.004,0.003,1.571,0.007,0.003,1.573
0.004,0.003,1.571,0.007,0.003,1.573
0.004,0.003,1.571,0.007,0.003,1.573
0.004,0.003,1.571,0.007,0.003,1.573
0.004,0.003,1.571,0.007,0.003,1.573
0.004,0.003,1.571,0.007,0.003,1.573
0.004,0.002,1.571,0.007,0.003,1.573
0.004,0.002,1.571,0.007,0.003,1.573
0.004,0.002,1.571,0.007,0.003,1.573
0.005,0.002,1.571,0.007,0.003,1.573
0.005,0.002,1.571,0.006,0.003,1.573
