m_qw,m_qx,m_qy,m_qz,f_qw,f_qx,f_qy,f_qz
0.949748,-0.310959,-0.034045,-0.011147,0.949992,-0.310221,-0.033963,-0.011122
0.963700,-0.265217,-0.029605,-0.008147,0.957179,-0.287580,-0.031746,-0.009908
0.976998,-0.211853,-0.023794,-0.005159,0.964546,-0.262172,-0.029046,-0.008596
0.987865,-0.154370,-0.016874,-0.002637,0.971624,-0.234989,-0.025939,-0.007313
0.995209,-0.097304,-0.009440,-0.000923,0.978049,-0.207061,-0.022552,-0.006158
0.998994,-0.044800,-0.002192,-0.000098,0.983582,-0.179379,-0.019038,-0.005187
0.999991,0.000509,0.004323,-0.000002,0.988135,-0.152739,-0.015542,-0.004406
0.999240,0.037716,0.009805,-0.000370,0.991735,-0.127671,-0.012177,-0.003786
0.997647,0.067083,0.014140,-0.000951,0.994482,-0.104471,-0.009025,-0.003286
0.995858,0.089252,0.017257,-0.001547,0.996503,-0.083284,-0.006150,-0.002866
0.994330,0.104607,0.019028,-0.002002,0.997927,-0.064200,-0.003609,-0.002486
0.993394,0.113094,0.019311,-0.002198,0.998877,-0.047318,-0.001457,-0.002120
0.993234,0.114671,0.018217,-0.002103,0.999462,-0.032744,0.000269,-0.001756
0.993823,0.109771,0.016239,-0.001794,0.999787,-0.020549,0.001584,-0.001401
0.994942,0.099474,0.013936,-0.001393,0.999939,-0.010724,0.002541,-0.001072
0.996264,0.085566,0.011625,-0.000998,0.999990,-0.003144,0.003204,-0.000787
0.997491,0.070156,0.009441,-0.000664,0.999990,0.002433,0.003632,-0.000557
0.998458,0.055006,0.007470,-0.000412,0.999972,0.006316,0.003875,-0.000386
0.999131,0.041271,0.005773,-0.000238,0.999953,0.008835,0.003979,-0.000270
0.999553,0.029570,0.004375,-0.000129,0.999939,0.010302,0.003982,-0.000205
0.999792,0.020123,0.003274,-0.000066,0.999932,0.010992,0.003914,-0.000180
0.999914,0.012873,0.002449,-0.000032,0.999931,0.011136,0.003802,-0.000187
