measured_roll,measured_pitch,measured_yaw,filtered_roll,filtered_pitch,filtered_yaw
-3.080,0.019,0.000,-3.140,-0.000,-3.141
-3.079,0.022,0.000,-3.139,-0.002,-3.141
-3.123,-0.040,0.000,3.139,-0.002,3.141
-2.942,-0.004,-0.000,3.137,0.000,3.139
-3.138,0.031,-0.000,3.135,0.003,3.135
-3.134,0.048,0.000,3.134,0.006,3.133
3.090,0.035,0.000,3.134,0.008,3.131
3.093,0.033,-0.000,3.135,0.009,3.131
3.137,0.050,-0.000,3.136,0.008,3.131
-3.139,0.032,0.000,3.137,0.007,3.130
-3.120,-0.001,0.000,3.138,0.007,3.129
-3.115,-0.004,0.000,3.139,0.008,3.128
-3.120,0.006,0.000,3.139,0.008,3.127
-3.113,-0.007,-0.000,3.139,0.008,3.126
-3.111,0.019,0.000,3.138,0.009,3.126
-3.121,0.026,0.000,3.137,0.010,3.125
3.129,0.034,0.000,3.137,0.011,3.125
3.141,0.021,-0.000,3.139,0.011,3.124
-3.112,0.020,0.000,3.140,0.012,3.124
-3.125,0.020,0.000,3.141,0.011,3.123
-3.114,-0.001,0.000,3.142,0.011,3.123
-3.138,-0.003,0.000,-3.141,0.011,3.123
-3.119,0.008,0.000,-3.141,0.012,3.124
-3.103,0.009,0.000,-3.140,0.012,3.124
-3.105,0.037,0.000,-3.141,0.012,3.124
-3.107,0.044,0.000,-3.141,0.012,3.124
-3.116,0.060,-0.000,3.141,0.012,3.123
-3.120,0.070,0.000,3.139,0.011,3.123
-3.099,0.049,0.000,3.136,0.009,3.123
-3.109,0.031,-0.000,3.133,0.008,3.122
-3.129,0.005,0.000,3.128,0.007,3.121
3.138,-0.010,0.000,3.121,0.006,3.121
3.134,-0.013,0.000,3.114,0.006,3.122
3.132,0.015,0.000,3.105,0.007,3.123
3.123,0.052,-0.000,3.095,0.008,3.123
3.127,0.064,0.000,3.084,0.009,3.123
3.124,0.071,0.000,3.071,0.009,3.122
3.096,0.064,0.000,3.056,0.008,3.121
3.069,0.050,-0.000,3.039,0.007,3.121
3.087,0.065,0.000,3.019,0.007,3.121
3.076,0.083,0.000,2.998,0.008,3.120
3.057,0.106,0.000,2.973,0.008,3.120
3.050,0.117,0.000,2.946,0.008,3.118
3.006,0.075,-0.000,2.919,0.006,3.115
2.936,0.015,0.000,2.892,0.003,3.111
2.873,-0.018,0.000,2.865,0.001,3.108
2.801,-0.025,0.000,2.836,0.000,3.108
2.814,-0.030,0.000,2.806,0.003,3.109
2.748,0.004,0.000,2.775,0.008,3.111
2.705,0.117,0.000,2.746,0.013,3.111
2.624,0.071,0.000,2.720,0.016,3.109
2.578,0.010,0.000,2.694,0.017,3.108
2.525,-0.032,0.000,2.668,0.018,3.107
2.434,-0.042,0.000,2.643,0.019,3.106
2.363,-0.034,0.000,2.619,0.020,3.107
2.363,-0.014,0.000,2.597,0.022,3.107
2.338,0.001,0.000,2.576,0.025,3.107
2.363,0.048,0.000,2.555,0.027,3.108
2.370,0.025,0.000,2.533,0.029,3.108
2.320,0.060,-0.000,2.511,0.030,3.107
2.247,0.124,0.000,2.489,0.031,3.106
2.093,0.125,0.000,2.467,0.029,3.106
2.073,0.109,0.000,2.445,0.027,3.106
2.009,0.125,0.000,2.422,0.026,3.104
1.923,0.134,0.000,2.401,0.023,3.101
1.834,0.072,0.000,2.380,0.021,3.097
1.753,0.104,-0.000,2.360,0.017,3.092
1.642,0.071,-0.000,2.340,0.013,3.089
1.627,-0.016,0.000,2.321,0.010,3.088
1.530,-0.011,0.000,2.302,0.007,3.087
1.479,0.052,-0.000,2.284,0.003,3.087
1.421,-0.051,-0.000,2.267,-0.000,3.086
1.351,-0.081,0.000,2.251,-0.003,3.084
1.284,-0.073,0.000,2.237,-0.006,3.081
1.261,-0.046,0.000,2.224,-0.008,3.079
1.204,-0.034,0.000,2.213,-0.010,3.077
1.167,-0.049,0.000,2.204,-0.012,3.076
1.163,-0.006,-0.000,2.196,-0.015,3.077
1.163,-0.018,0.000,2.188,-0.017,3.078
1.165,-0.033,0.000,2.182,-0.019,3.078
1.118,-0.035,0.000,2.179,-0.021,3.077
1.111,-0.012,0.000,2.177,-0.023,3.077
1.128,-0.009,0.000,2.176,-0.026,3.077
1.131,-0.025,0.000,2.177,-0.027,3.077
1.121,-0.061,0.000,2.180,-0.028,3.076
