measured_roll,measured_pitch,measured_yaw,filtered_roll,filtered_pitch,filtered_yaw
0.045,-0.998,0.002,-0.095,0.000,0.005
0.036,-0.998,0.002,-0.265,0.001,0.012
0.037,-0.998,0.002,-0.494,0.005,0.021
0.043,-0.997,0.002,-0.761,0.013,0.034
0.035,-0.998,0.002,-1.046,0.024,0.042
0.044,-0.998,0.002,-1.325,0.038,0.047
0.038,-0.998,0.002,-1.588,0.051,0.049
0.039,-0.998,0.002,-1.824,0.063,0.047
0.036,-0.998,0.002,-2.031,0.072,0.044
0.039,-0.998,0.002,-2.208,0.079,0.039
0.039,-0.998,0.002,-2.357,0.083,0.033
0.037,-0.998,0.002,-2.482,0.088,0.029
0.036,-0.998,0.002,-2.587,0.089,0.024
0.034,-0.999,0.001,-2.674,0.089,0.020
0.030,-0.998,0.002,-2.747,0.093,0.017
0.039,-0.998,0.002,-2.804,0.095,0.014
0.043,-0.998,0.002,-2.850,0.097,0.012
0.036,-0.998,0.002,-2.890,0.096,0.010
0.039,-0.998,0.002,-2.921,0.098,0.009
0.040,-0.998,0.002,-2.947,0.099,0.007
0.029,-0.998,0.001,-2.972,0.099,0.007
0.034,-0.999,0.001,-2.990,0.096,0.005
0.044,-0.998,0.002,-3.002,0.098,0.005
0.037,-0.998,0.002,-3.014,0.096,0.004
0.031,-0.999,0.001,-3.026,0.094,0.003
0.035,-0.998,0.002,-3.034,0.092,0.003
0.039,-0.998,0.002,-3.039,0.096,0.003
0.031,-0.998,0.002,-3.047,0.097,0.002
0.037,-0.998,0.002,-3.050,0.096,0.002
0.037,-0.998,0.002,-3.053,0.096,0.002
0.041,-0.998,0.002,-3.054,0.098,0.002
0.028,-0.998,0.001,-3.060,0.099,0.002
0.044,-0.997,0.002,-3.059,0.103,0.002
0.046,-0.999,-0.000,-3.059,0.082,0.003
0.039,-0.999,0.001,-3.066,0.072,0.003
0.068,0.997,0.003,-3.015,0.065,0.002
0.018,0.992,0.002,-2.974,0.020,-0.009
0.023,-0.998,0.001,-3.004,0.041,-0.008
0.027,0.998,0.002,-2.970,0.026,-0.013
0.064,0.997,0.003,-2.908,0.017,-0.023
0.073,0.997,0.001,-2.826,0.015,-0.037
0.105,0.994,0.001,-2.706,0.018,-0.050
0.145,0.989,0.001,-2.533,0.027,-0.063
0.140,0.990,0.001,-2.323,0.041,-0.077
0.182,0.983,-0.005,-2.050,0.076,-0.074
0.204,0.979,-0.002,-1.720,0.111,-0.060
0.248,0.969,-0.005,-1.334,0.143,-0.023
0.321,0.945,-0.021,-0.909,0.160,0.047
0.329,0.943,-0.016,-0.483,0.145,0.111
0.418,0.908,-0.008,-0.091,0.111,0.144
0.488,0.873,-0.010,0.247,0.070,0.157
0.543,0.840,-0.008,0.526,0.035,0.152
0.550,0.835,-0.014,0.763,0.005,0.142
0.534,0.846,0.006,0.971,-0.008,0.121
0.562,0.827,0.014,1.134,-0.009,0.098
0.576,0.817,0.016,1.263,-0.004,0.077
0.625,0.781,-0.003,1.350,-0.009,0.063
0.684,0.729,-0.005,1.394,-0.011,0.052
0.698,0.716,-0.001,1.427,-0.011,0.042
0.717,0.697,-0.016,1.446,-0.016,0.034
0.721,0.693,-0.011,1.463,-0.018,0.027
0.721,0.693,-0.005,1.480,-0.016,0.021
0.680,0.733,-0.008,1.519,-0.014,0.014
0.668,0.744,-0.013,1.562,-0.017,0.008
0.614,0.785,-0.051,1.626,-0.041,0.006
0.544,0.837,-0.035,1.713,-0.052,0.008
0.475,0.877,0.035,1.816,-0.013,-0.001
0.503,0.858,-0.051,1.892,-0.041,-0.005
0.330,0.938,-0.034,2.025,-0.065,0.007
0.358,0.934,0.005,2.123,-0.045,0.006
0.129,0.989,-0.009,2.289,-0.056,0.016
0.083,0.997,-0.000,2.439,-0.048,0.015
0.201,0.979,0.008,2.521,-0.023,0.015
0.012,0.998,-0.001,2.662,-0.041,0.029
0.112,-0.993,0.002,2.505,-0.058,0.046
0.013,-0.997,0.001,2.357,-0.108,0.087
0.070,-0.994,-0.005,2.163,-0.082,0.120
0.218,-0.976,0.005,1.854,-0.076,0.163
0.245,-0.961,0.031,1.492,-0.080,0.254
0.256,-0.965,0.014,1.095,-0.025,0.324
0.323,-0.936,0.045,0.686,0.052,0.392
0.358,-0.931,0.024,0.290,0.143,0.388
0.405,-0.913,0.020,-0.078,0.215,0.347
0.445,-0.891,0.041,-0.401,0.264,0.300
0.463,-0.883,0.034,-0.684,0.287,0.241
0.515,-0.849,0.063,-0.906,0.304,0.198
0.586,-0.806,0.047,-1.067,0.296,0.153
0.600,-0.797,0.045,-1.194,0.281,0.117
0.635,-0.772,0.015,-1.283,0.248,0.084
0.612,-0.790,0.029,-1.368,0.227,0.064
0.618,-0.784,0.032,-1.438,0.209,0.050
0.662,-0.748,0.030,-1.480,0.188,0.039
0.683,-0.728,0.034,-1.505,0.171,0.033
0.641,-0.764,0.042,-1.551,0.163,0.027
0.629,-0.776,0.033,-1.606,0.148,0.024
0.661,-0.748,0.039,-1.646,0.133,0.023
0.724,-0.690,-0.011,-1.648,0.101,0.021
0.563,-0.827,-0.002,-1.731,0.090,0.014
0.457,-0.885,0.039,-1.845,0.107,0.020
0.481,-0.876,0.021,-1.932,0.106,0.022
0.379,-0.922,0.029,-2.045,0.118,0.014
0.367,-0.930,-0.011,-2.142,0.086,0.004
0.311,-0.949,0.017,-2.239,0.093,0.004
0.164,-0.985,0.008,-2.373,0.095,-0.003
0.071,-0.997,0.003,-2.514,0.094,-0.005
0.051,-0.988,0.007,-2.633,0.134,0.000
0.034,0.998,0.001,-2.513,0.153,0.006
0.048,0.996,0.004,-2.356,0.162,0.011
0.106,0.992,0.007,-2.135,0.174,0.023
0.171,0.984,0.008,-1.841,0.191,0.052
0.305,0.952,-0.000,-1.458,0.198,0.109
0.316,0.949,0.002,-1.043,0.178,0.166
0.383,0.921,-0.025,-0.622,0.130,0.244
0.393,0.913,-0.045,-0.226,0.056,0.306
0.452,0.884,-0.053,0.124,-0.027,0.328
0.434,0.896,-0.042,0.443,-0.096,0.316
0.491,0.865,-0.051,0.703,-0.150,0.287
0.511,0.857,-0.037,0.925,-0.176,0.246
0.486,0.873,-0.020,1.124,-0.183,0.202
0.556,0.831,-0.016,1.264,-0.174,0.163
0.581,0.813,-0.013,1.368,-0.161,0.131
0.635,0.772,-0.003,1.434,-0.139,0.106
0.628,0.778,-0.009,1.493,-0.122,0.085
0.637,0.770,-0.009,1.537,-0.104,0.068
0.640,0.768,0.005,1.574,-0.083,0.056
0.635,0.772,-0.003,1.611,-0.070,0.044
0.615,0.787,-0.032,1.652,-0.075,0.035
0.671,0.735,-0.063,1.664,-0.091,0.027
0.655,0.749,-0.065,1.689,-0.108,0.023
0.569,0.821,-0.023,1.755,-0.099,0.023
0.502,0.864,0.015,1.840,-0.067,0.018
0.469,0.883,-0.009,1.925,-0.063,0.012
0.409,0.912,-0.009,2.020,-0.060,0.014
0.366,0.924,0.040,2.115,-0.011,0.010
0.308,0.951,0.002,2.218,-0.004,0.008
0.175,0.985,0.000,2.352,-0.007,0.013
0.136,0.988,0.009,2.476,0.013,0.014
0.047,0.991,0.006,2.608,0.057,-0.000
0.030,0.998,-0.002,2.719,0.027,0.004
0.030,-0.987,0.005,2.623,-0.058,0.030
0.034,-0.990,0.005,2.493,-0.137,0.075
0.146,-0.989,-0.002,2.283,-0.146,0.114
0.180,-0.979,0.016,2.003,-0.186,0.202
0.194,-0.978,0.015,1.664,-0.184,0.308
0.290,-0.953,0.024,1.271,-0.135,0.417
0.228,-0.971,0.015,0.866,-0.045,0.491
0.333,-0.942,0.008,0.462,0.066,0.496
0.347,-0.933,0.033,0.086,0.176,0.490
0.366,-0.927,0.031,-0.269,0.261,0.435
0.442,-0.895,0.027,-0.574,0.309,0.356
0.473,-0.879,0.029,-0.832,0.325,0.278
0.463,-0.884,0.028,-1.055,0.322,0.212
0.530,-0.841,0.057,-1.212,0.321,0.169
0.554,-0.825,0.060,-1.329,0.316,0.132
0.583,-0.806,0.058,-1.418,0.304,0.101
0.632,-0.768,0.068,-1.465,0.293,0.080
0.615,-0.785,0.049,-1.514,0.274,0.059
0.665,-0.747,0.011,-1.533,0.235,0.045
0.692,-0.721,0.007,-1.538,0.199,0.037
0.665,-0.741,0.061,-1.552,0.199,0.033
0.702,-0.711,0.036,-1.551,0.185,0.027
0.702,-0.711,0.033,-1.554,0.171,0.023
0.683,-0.725,0.064,-1.572,0.173,0.019
0.675,-0.732,0.061,-1.600,0.170,0.015
0.637,-0.762,0.073,-1.649,0.173,0.015
0.685,-0.726,0.041,-1.675,0.150,0.012
0.594,-0.805,0.009,-1.738,0.123,0.014
0.594,-0.804,0.006,-1.789,0.101,0.018
0.474,-0.878,0.031,-1.879,0.113,0.020
0.414,-0.908,0.026,-1.979,0.116,0.020
0.395,-0.919,0.003,-2.069,0.101,0.011
0.351,-0.932,0.030,-2.161,0.120,0.010
0.253,-0.967,0.011,-2.275,0.115,0.006
0.210,-0.976,0.012,-2.384,0.119,0.004
0.194,-0.977,0.017,-2.479,0.129,0.000
0.050,-0.999,0.000,-2.606,0.107,-0.003
