ax, ay, az, gx, gy, gz, temp
-0.17957, -0.57940, -9.32063, 0.19212, 0.04357, -0.07754, 27.79007
-0.20830, -0.59616, -9.49780, 0.02731, 0.18066, -0.01932, 27.88591
0.41180, -0.18914, -10.29986, -0.44459, -0.04863, 0.11218, 27.55045
0.03352, -1.75734, -8.69335, -0.25194, -0.22449, 0.23888, 27.45461
-0.28730, -0.03112, -9.28950, -0.21797, -0.26606, 0.37491, 27.88591
-0.43096, -0.06464, -8.97347, -0.04330, -0.32002, 0.27712, 27.50253
-0.31364, 0.46208, -8.92319, -0.00586, -0.18453, 0.13936, 27.55045
-0.30406, 0.43814, -9.08600, 0.11604, -0.08647, 0.00320, 27.45461
-0.45969, 0.04549, -9.27274, 0.08380, 0.05143, 0.00013, 27.64630
-0.30646, -0.02155, -9.58399, 0.08926, 0.10192, 0.07914, 27.55045
0.00718, -0.20830, -9.49062, 0.12977, 0.00973, 0.11338, 27.83799
0.03591, -0.25139, -9.51216, 0.06222, -0.02465, 0.11431, 27.83799
-0.06225, -0.21069, -9.60554, -0.00733, -0.01439, 0.08807, 27.69422
0.06225, -0.27054, -9.51935, -0.00160, -0.06968, 0.07621, 27.79007
-0.18196, -0.28491, -9.42358, -0.07221, -0.07381, 0.06861, 27.79007
-0.24660, -0.19154, -9.50738, -0.05969, -0.07368, 0.05969, 27.69422
-0.32082, 0.11492, -9.47625, 0.00080, -0.08713, 0.04277, 27.79007
-0.19393, 0.00479, -9.33739, 0.14149, -0.06408, 0.05969, 27.64630
-0.18675, -0.27773, -9.26556, 0.12337, -0.02851, 0.02038, 27.64630
-0.18435, -0.15323, -9.44991, 0.04810, 0.02225, 0.04410, 27.69422
0.00718, -0.25857, -9.47386, 0.09313, 0.02105, 0.03691, 27.69422
0.02873, -0.03591, -9.70609, 0.07914, -0.01026, -0.01439, 27.69422
-0.07422, -0.22266, -9.89045, 0.02398, -0.03371, -0.04530, 27.79007
-0.09098, -0.38068, -9.96706, 0.02372, -0.04530, -0.01892, 27.64630
-0.38547, -0.37350, -10.29507, -0.01905, -0.03211, -0.00626, 27.50253
