ax, ay, az, gx, gy, gz, temp
0.75657, 0.33758, -9.63666, 0.00306, -0.00040, 0.05183, 24.67508
0.11492, 0.06464, -9.62708, -0.00386, 0.02758, 0.05289, 24.72301
0.12450, 0.02873, -9.52892, -0.03131, 0.06742, 0.04930, 24.81885
0.18675, 0.03831, -9.48583, -0.01905, 0.05542, 0.05822, 24.72301
-9.48343, -1.30963, -8.10677, -0.10086, 0.16694, 0.06315, 24.72301
1.46046, 0.35913, -8.82982, -0.00626, 0.01905, 0.05023, 24.81885
0.16759, -0.04549, -9.54089, -0.02598, 0.05849, 0.05303, 24.86678
0.19393, 0.02394, -9.58399, -0.03158, 0.06502, 0.05796, 24.91470
0.14365, 0.05267, -9.64624, -0.03730, 0.07354, 0.06155, 24.72301
0.40223, 0.07901, -9.49301, -0.01519, 0.04370, 0.07354, 24.72301
0.62489, 0.23224, -9.38767, -0.00666, 0.02198, 0.05423, 24.48339
0.25139, 0.00718, -9.55765, -0.00466, 0.02678, 0.05129, 24.72301
0.17957, 0.05986, -9.56244, -0.00480, 0.03251, 0.05129, 24.81885
0.19393, 0.09098, -9.52892, -0.01092, 0.03011, 0.05076, 24.72301
0.19154, 0.09098, -9.55287, -0.01026, 0.03344, 0.05223, 24.72301
0.21069, 0.09816, -9.61511, -0.01306, 0.02531, 0.05076, 24.72301
0.22027, 0.04788, -9.57920, -0.00746, 0.03317, 0.05156, 25.05847
0.22266, 0.04549, -9.61033, -0.00386, 0.02598, 0.05036, 24.67508
0.15562, 0.06704, -9.55287, -0.00640, 0.02878, 0.04970, 24.72301
0.22266, 0.06704, -9.61272, -0.00799, 0.02864, 0.04890, 24.86678
0.20351, 0.04310, -9.54329, -0.00719, 0.02758, 0.04970, 24.72301
0.25857, 0.03831, -9.57681, -0.00506, 0.02864, 0.05316, 24.81885
0.23224, 0.08380, -9.53371, -0.00946, 0.02758, 0.05529, 24.67508
0.22266, 0.06704, -9.55287, -0.00546, 0.02611, 0.05009, 24.72301
0.18435, 0.05746, -9.55287, -0.00480, 0.02358, 0.04930, 24.62716
0.21787, 0.10056, -9.55287, -0.00773, 0.02678, 0.05103, 24.81885
0.23942, -0.08140, -9.53610, 0.00759, 0.02318, 0.05249, 24.81885
0.26336, 0.10534, -9.64384, -0.00200, 0.03544, 0.05156, 24.62716
0.30885, 0.13408, -9.52174, 0.00027, 0.01825, 0.04890, 24.67508
0.25139, 0.07422, -9.62948, 0.00173, 0.01439, 0.05796, 24.62716
0.20351, 0.07183, -9.60314, -0.00600, 0.02252, 0.05223, 24.81885
0.22266, 0.04549, -9.60554, -0.00413, 0.02678, 0.05369, 24.91470
0.23703, 0.09337, -9.55287, -0.00346, 0.02145, 0.05596, 24.72301
0.14365, 0.00958, -9.53610, -0.00693, 0.03264, 0.05023, 24.81885
0.13168, 0.04549, -9.44991, -0.00413, 0.02891, 0.05156, 24.67508
0.18675, 0.08619, -9.50738, -0.00253, 0.03491, 0.04490, 24.81885
0.19632, 0.02634, -9.56723, -0.01146, 0.04077, 0.04610, 24.72301
0.40701, 0.11253, -9.68455, -0.00147, 0.02105, 0.05169, 24.62716
0.56264, -0.01915, -9.60075, 0.00213, 0.02931, 0.04263, 24.72301
0.31125, 0.05746, -9.54568, -0.00466, 0.01719, 0.05009, 25.01054
0.16520, 0.01676, -9.55526, -0.00719, 0.03531, 0.05289, 24.86678
